Source;Word;Lemma_spacy;Article;Forms;Wortart;Genus;URL;nur_im_Plural;Case_spacy;Number_spacy;Degree_spacy;PronType_spacy;VerbForm_spacy;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
BUCHMEIER,HERMIT;Rollstuhl;Rollstuhl;;;Substantiv;mask.;;;Nom;Sing;;;;6781.0;216.0;;;;6330.0;1279.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Rom;Rom;;;Substantiv;neut.;;;Nom;Sing;;;;2695.0;721.0;2216.0;33.12;1672.0;2016.0;5441.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Roman;Roman;der;;Substantiv;mask.;https://www.dwds.de/wb/Roman;0.0;Nom;Sing;;;;4471.0;375.0;1147.0;65.86;957.0;3116.0;3142.0
HERMIT,LEIPZIG;Romantik;Romantik;;;Substantiv;fem.;;;Nom;Sing;;;;;;;;8987.0;9435.0;757.0
A2,BUCHMEIER,HERMIT,LEEDS;romantisch;romantisch;;;Adjektiv;;https://www.dwds.de/wb/romantisch;0.0;;;Pos;;;4817.0;342.0;4873.0;12.02;;3880.0;2393.0
BUCHMEIER,HERMIT;Romeo;Romeo;;;Substantiv;;;;Nom;Sing;;;;7367.0;193.0;;;;5510.0;1517.0
BUCHMEIER,HERMIT;Ron;Ron;;;Substantiv;mask.;;;Nom;Sing;;;;5670.0;273.0;;;;4192.0;2168.0
BUCHMEIER,HERMIT;Ronnie;Ronnie;;;Substantiv;fem.;;;Nom;Sing;;;;6045.0;252.0;;;;4930.0;1756.0
BUCHMEIER,HERMIT,LEIPZIG;Rosa;Rosa;;;Substantiv;fem.;;;Nom;Sing;;;;5785.0;266.0;;;9841.0;3177.0;3062.0
A2,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;Rose;Rose;die;;Substantiv;fem.;https://www.dwds.de/wb/Rose;0.0;Nom;Sing;;;;1880.0;1132.0;4004.0;15.73;8584.0;1726.0;6632.0
BUCHMEIER,HERMIT;Rosen;Rose;;;Substantiv;fem.;;;Nom;Plur;;;;4770.0;346.0;;;;4416.0;2041.0
BUCHMEIER,HERMIT;Rosie;Rosie;;;Substantiv;fem.;;;Nom;Sing;;;;8102.0;170.0;;;;6199.0;1320.0
BUCHMEIER,HERMIT;Ross;Ross;;;Substantiv;;;;Nom;Sing;;;;1448.0;1528.0;;;;2506.0;4166.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;rot;rot;;;Adjektiv;;https://www.dwds.de/wb/rot;0.0;;;Pos;;;3392.0;540.0;1009.0;75.12;6291.0;1930.0;5784.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;rote;rot;;;Adjektiv;;;;Nom;Plur;Pos;;;3187.0;588.0;2172.0;34.01;4053.0;2317.0;4610.0
BUCHMEIER,HERMIT,LEIPZIG;roten;rot;;;Verb;;;;;Plur;;;Fin;3099.0;607.0;;;2265.0;2264.0;4739.0
BUCHMEIER,HERMIT,LEIPZIG;Route;Route;;;Substantiv;;;;Nom;Sing;;;;5927.0;259.0;;;9096.0;5614.0;1482.0
BUCHMEIER,HERMIT,LEIPZIG;Routine;Routine;;;Substantiv;;;;Nom;Sing;;;;9668.0;135.0;;;9161.0;7894.0;958.0
