Source;Word;Article;Forms;Wortart;Genus;URL;nur_im_Plural
A2,BW3;Brücke;die;;Substantiv;fem.;https://www.dwds.de/wb/Br%C3%BCcke;0.0
B1;Bub;der;;Substantiv;mask.;https://www.dwds.de/wb/Bub;0.0
A1,BW1;Buch;das;Bücher;Substantiv;neutr.;https://www.dwds.de/wb/Buch;0.0
B1;Buchhandlung;die;;Substantiv;fem.;https://www.dwds.de/wb/Buchhandlung;0.0
A1;Buchstabe;der;;Substantiv;mask.;https://www.dwds.de/wb/Buchstabe;0.0
B1;Buffet;das;;Substantiv;neutr.;https://www.dwds.de/wb/Buffet;0.0
B1,BW3;Burg;die;Burgen;Substantiv;fem.;https://www.dwds.de/wb/Burg;0.0
A1;Bus;der;;Substantiv;mask.;https://www.dwds.de/wb/Bus;0.0
A1,BW1;Butter;die;;Substantiv;fem., mask.;https://www.dwds.de/wb/Butter;0.0
BW3;Bäcker;der;du backst;Substantiv;;;
A1;Bäckerei;die;;Substantiv;fem.;https://www.dwds.de/wb/B%C3%A4ckerei;0.0
BW1;Bär;der;;Substantiv;;;
B1;Büchse;die;;Substantiv;fem.;https://www.dwds.de/wb/B%C3%BCchse#1;0.0
B1;Büfett;das;;Substantiv;neutr.;https://www.dwds.de/wb/B%C3%BCfett;0.0
B1;Bühne;die;;Substantiv;fem.;https://www.dwds.de/wb/B%C3%BChne;0.0
B1;Bürger;der;;Substantiv;mask.;https://www.dwds.de/wb/B%C3%BCrger;0.0
B1;Bürgerin;die;;Substantiv;fem.;https://www.dwds.de/wb/B%C3%BCrgerin;0.0
A2;Büro;das;;Substantiv;neutr.;https://www.dwds.de/wb/B%C3%BCro;0.0
B1;Bürste;die;;Substantiv;fem.;https://www.dwds.de/wb/B%C3%BCrste;0.0
A1;CD;die;;Substantiv;fem.;https://www.dwds.de/wb/CD#1;0.0
A2;Cafeteria;die;;Substantiv;fem.;https://www.dwds.de/wb/Cafeteria;0.0
A1;Café;das;;Substantiv;neutr.;https://www.dwds.de/wb/Caf%C3%A9;0.0
A1,BW1;Cent;der;;Substantiv;mask.;https://www.dwds.de/wb/Cent;0.0
B1;Chance;die;;Substantiv;fem.;https://www.dwds.de/wb/Chance;0.0
A1;Chef;der;;Substantiv;mask.;https://www.dwds.de/wb/Chef;0.0
A2;Chefin;die;;Substantiv;fem.;https://www.dwds.de/wb/Chefin;0.0
B1;Chipkarte;die;;Substantiv;fem.;https://www.dwds.de/wb/Chipkarte;0.0
A2;Circus;der;;Substantiv;mask.;https://www.dwds.de/wb/Circus;0.0
BW3;Clown;der;;Substantiv;;;
A2;Club;der;;Substantiv;mask.;https://www.dwds.de/wb/Club;0.0
B1;Coiffeur;der;;Substantiv;mask.;https://www.dwds.de/wb/Coiffeur;0.0
B1;Coiffeuse;die;;Substantiv;fem.;https://www.dwds.de/wb/Coiffeuse;0.0
A2,BW1;Comic;der;;Substantiv;mask.;https://www.dwds.de/wb/Comic;0.0
A1;Computer;der;;Substantiv;mask.;https://www.dwds.de/wb/Computer;0.0
B1;Couch;die;;Substantiv;fem.;https://www.dwds.de/wb/Couch;0.0
B1;Cousin;der;;Substantiv;mask.;https://www.dwds.de/wb/Cousin;0.0
B1;Cousine;die;;Substantiv;fem.;https://www.dwds.de/wb/Cousine;0.0
B1;Couvert;das;;Substantiv;neutr.;https://www.dwds.de/wb/Couvert;0.0
A2;Creme;die;;Substantiv;fem.;https://www.dwds.de/wb/Creme;0.0
A2;Crème;die;;Substantiv;fem.;https://www.dwds.de/wb/Cr%C3%A8me;0.0
B1;Dach;das;;Substantiv;neutr.;https://www.dwds.de/wb/Dach;0.0
BW1;Dachs;der;;Substantiv;;;
A2;Dame;die;;Substantiv;fem.;https://www.dwds.de/wb/Dame;0.0
A1;Dank;der;;Substantiv;mask.;https://www.dwds.de/wb/Dank;0.0
B1;Darstellung;die;;Substantiv;fem.;https://www.dwds.de/wb/Darstellung;0.0
A2;Datei;die;;Substantiv;fem.;https://www.dwds.de/wb/Datei;0.0
B1;Daten;;;Substantiv;;https://www.dwds.de/wb/Daten;1.0
A1;Datum;das;;Substantiv;neutr.;https://www.dwds.de/wb/Datum;0.0
B1;Dauer;die;;Substantiv;fem.;https://www.dwds.de/wb/Dauer;0.0
BW1;Daumen;der;;Substantiv;;;
B1,BW1;Decke;die;;Substantiv;fem.;https://www.dwds.de/wb/Decke;0.0
B1;Denkmal;das;;Substantiv;neutr.;https://www.dwds.de/wb/Denkmal;0.0
B1;Dessert;das;;Substantiv;neutr.;https://www.dwds.de/wb/Dessert;0.0
B1;Detail;das;;Substantiv;neutr.;https://www.dwds.de/wb/Detail;0.0
A1;Deutsche;;;Substantiv;fem., mask.;https://www.dwds.de/wb/Deutsche#2;0.0
A1;Deutschland;das;;Substantiv;neutr.;https://www.dwds.de/wb/Deutschland;0.0
A1,BW1;Dezember;der;;Substantiv;mask.;https://www.dwds.de/wb/Dezember;0.0
B1;Dialekt;der;;Substantiv;mask.;https://www.dwds.de/wb/Dialekt;0.0
B1;Dialog;der;;Substantiv;mask.;https://www.dwds.de/wb/Dialog;0.0
B1,BW1;Dieb;der;Diebe;Substantiv;mask.;https://www.dwds.de/wb/Dieb;0.0
B1;Dienst;der;;Substantiv;mask.;https://www.dwds.de/wb/Dienst;0.0
A1,BW1;Dienstag;der;;Substantiv;mask.;https://www.dwds.de/wb/Dienstag;0.0
A2;Ding;das;;Substantiv;neutr.;https://www.dwds.de/wb/Ding#1;0.0
B1;Diplom;das;;Substantiv;neutr.;https://www.dwds.de/wb/Diplom;0.0
B1;Direktor;der;;Substantiv;mask.;https://www.dwds.de/wb/Direktor;0.0
B1;Direktorin;die;;Substantiv;fem.;https://www.dwds.de/wb/Direktorin;0.0
A2;Disco;die;;Substantiv;fem.;https://www.dwds.de/wb/Disco#1;0.0
A2;Disko;die;;Substantiv;fem.;https://www.dwds.de/wb/Disko#1;0.0
B1;Diskothek;die;;Substantiv;fem.;https://www.dwds.de/wb/Diskothek;0.0
B1;Diskussion;die;;Substantiv;fem.;https://www.dwds.de/wb/Diskussion;0.0
B1;Distanz;die;;Substantiv;fem.;https://www.dwds.de/wb/Distanz;0.0
